Song,Artist,Track ID
The Loco-Motion,Grand Funk,0PxYWaGiwWtcuL1VIMiEW4
The Streak,Ray Stevens,7FUk1EkNJLXyjadbiHlw0C
Band On The Run,Paul McCartney And Wings,1H4idkmruFoJBg1DvUv2tY
Billy; Don't Be A Hero,Bo Donaldson And The Heywoods,6ZqgJAbxuEUjazBLN5V0U4
Sundown,Gordon Lightfoot,0SjnBEHZVXgCKvOrpvzL2k
Rock The Boat,The Hues Corporation,7fu3Tv5rcoGD1PZV7s57WW
Rock Your Baby,George McCrae,16KwF7IrKHTVTitUKH58g3
Annie's Song,John Denver,4J0DbyODwZJcmIAiTSJfMF
Feel Like Makin' Love,Roberta Flack,7gkboYtvhuXNS4EUwmFPcw
The Night Chicago Died,Paper Lace,4f4RRYN3R7glPElFjeoUnC
(You're) Having My Baby,Paul Anka with Odia Coates,5PuAFxKmqG72uKyoo11zpQ
I Shot The Sheriff,Eric Clapton,0UOxp1BpnD8uPQMKU4wKjz
Can't Get Enough Of Your Love; Babe,Barry White,3mWpUEBYnv9SIFWfixSJFx
Rock Me Gently,Andy Kim,6CmowFMfHPyMx6c4tHOb0k
I Honestly Love You,Olivia Newton-John,5q8UoqDHPe9bU4R5bbvcJF
Nothing From Nothing,Billy Preston,72PoJMDfdaw9gGECgA9kTZ
Then Came You,Dionne Warwicke & Spinners,2ARBXxaM4pzXhGpFoZPAg7
You Haven't Done Nothin,Stevie Wonder,1inwt0v9a4ib9yS6Y4KsdM
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,0HOrDVS349XFcpCYsO2hAP
